Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,ARM,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,6.374050107,6.065196495,5.805848574,5.596250325,5.449061897,5.372316254,5.36040018,5.410361365,5.50718257,5.62804127,5.76333677,5.898988697,6.02999578,6.162151648,6.299092888,6.434457121,6.558253917,6.648479873,6.687999309,6.730025286,6.754596311,6.699245999,6.612227852,6.547935934,6.492519967,6.430498361,6.382213433,6.364807656,6.377522929,6.425635273,6.568132792,6.797549712,7.227054305,7.825332612,8.377884583,8.835095391,9.194592959,9.530825863,9.840777956,10.11797617,10.42825423,10.842447,11.31475761,11.78872805,12.20838928,12.55043942,12.78857444,12.83429363,12.67233671,12.41442789,12.21690721,12.16732094,12.22593429,12.331378,12.4873389,12.72280528,13.04875061,13.44309636,13.87794562,14.35797764,14.81579239,15.25440297,
American Samoa,ASM,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,2.89617766,2.819005877,2.702050663,2.634775297,2.604096026,2.558271745,2.529232334,2.532790592,2.551528924,2.553207926,2.563137491,2.583053102,2.582193774,2.581638499,2.592918795,2.606110881,2.639772573,2.705749718,2.783015801,2.843934322,2.877116669,2.933229254,2.989869754,3.031232571,3.069610055,3.099953462,3.11590055,3.136381062,3.178190876,3.23411245,3.320375421,3.407472564,3.476444936,3.531390135,3.569051255,3.574301804,3.564932021,3.548393024,3.521520402,3.495785223,3.526179476,3.630080804,3.736782312,3.860313453,3.978233305,4.057739993,4.12023748,4.178938295,4.20980236,4.216230023,4.299532899,4.446876797,4.614288927,4.816352845,5.046603248,5.312341488,5.627181847,5.982836951,6.356525319,6.758177079,7.187829039,7.658489405,
Antigua and Barbuda,ATG,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,4.994044434,5.082872928,5.243640513,5.437140822,5.60220436,5.719181922,5.806086163,5.871171143,5.930467244,5.999582949,6.146516484,6.386904065,6.664714066,6.961040486,7.261328349,7.549200265,7.813167863,8.048984872,8.271568771,8.491281274,8.709532309,8.930224485,9.144934226,9.349611032,9.546601312,9.71785922,9.845760996,9.937639792,9.992821679,10.0196256,10.02010111,9.94789847,9.756024726,9.498268126,9.239853032,8.987115347,8.732628935,8.479957313,8.256078134,8.087962192,7.97282848,7.905456436,7.863011689,7.814125674,7.773094149,7.759100655,7.766592532,7.781372776,7.803616393,7.845647608,7.958312545,8.13481618,8.326543029,8.538701092,8.781124326,9.070347757,9.423271714,9.797832496,10.16384888,10.55227336,10.97494244,11.40971288,
Australia,AUS,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,9.853792061,9.911176485,9.968192044,10.01636912,10.04380009,10.05313407,10.03948969,10.01090355,9.963263446,9.904877384,9.853297903,9.828041985,9.878835928,9.98194191,10.08774094,10.23036075,10.40772558,10.57938188,10.76120704,10.95713254,11.13939466,11.29337963,11.42980378,11.56134936,11.70469976,11.87377743,12.07309931,12.25931453,12.41372047,12.54063977,12.6737897,12.84063287,13.00755986,13.1665587,13.30126647,13.40847607,13.50293631,13.58100302,13.64968138,13.70152153,13.75068148,13.81787309,13.89126763,13.97310797,14.06240011,14.14999636,14.22937917,14.29558486,14.35918222,14.4690687,14.64850394,14.87921265,15.129082,15.36790115,15.59547374,15.82227449,16.04885437,16.27990126,16.53135699,16.80172819,17.11328782,17.46078331,
Austria,AUT,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,14.01227422,14.3075881,14.5871102,14.83368724,15.10360305,15.36609472,15.61609528,15.86953728,16.10469613,16.32602891,16.52563623,16.72433858,16.93420696,17.15599495,17.42114562,17.71710447,17.95876568,18.18205385,18.40998184,18.60294049,18.62136564,18.36070035,18.00019266,17.64844157,17.47109986,17.5807969,17.83597392,18.13826592,18.43405465,18.66057435,18.79653044,18.81648792,18.73527964,18.66737993,18.66823303,18.70069813,18.71644995,18.71906917,18.71178888,18.66449162,18.59692998,18.53937997,18.45673078,18.38122295,18.55846664,18.96487331,19.36300047,19.6426888,19.82951765,20.02043666,20.0924487,20.11912972,20.28212563,20.48961093,20.65056548,20.71443283,20.74185593,20.81825389,20.93666184,21.09095285,21.29469314,21.58364933,
Azerbaijan,AZE,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,5.59028804,5.490781953,5.420449471,5.380434942,5.365636681,5.371183703,5.387065345,5.411067273,5.444087245,5.472201949,5.496115272,5.522700382,5.550888964,5.575827189,5.596652107,5.611427063,5.746471207,6.012839446,6.308204277,6.456269493,6.411761809,6.312461969,6.193280624,6.105907136,6.030390868,5.93816756,5.835747018,5.754888755,5.735500139,5.776862427,5.826638913,5.867879915,5.957856161,6.113336255,6.217809827,6.220223636,6.171557599,6.097375811,6.025852839,6.080455259,6.288004317,6.548706131,6.832905461,7.098887472,7.273524203,7.3265889,7.273492023,7.109451885,6.850915666,6.615278805,6.451901877,6.331839445,6.279828577,6.294395174,6.3616677,6.473205747,6.634006565,6.835339928,7.071119918,7.351026192,7.6053095,7.897332268,
Burundi,BDI,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,3.554562315,3.566115403,3.582859975,3.609913066,3.626534635,3.633162487,3.641878727,3.652904087,3.664659875,3.679599692,3.693160898,3.700898109,3.719758518,3.735878312,3.735575566,3.736449964,3.738033408,3.732777127,3.718119178,3.707574938,3.669336003,3.629238591,3.610974816,3.589080482,3.568305449,3.548050221,3.526123289,3.489754195,3.437230394,3.376962685,3.312179775,3.241930528,3.159545583,3.141300157,3.096941353,3.000105048,2.957824608,2.933367846,2.906916243,2.883344986,2.865487178,2.848423985,2.83439145,2.820744747,2.803422994,2.785723939,2.76821748,2.749832069,2.730429221,2.70566346,2.679905803,2.659093722,2.638933689,2.621466172,2.599580471,2.611413275,2.660031131,2.703425112,2.740506206,2.772499565,2.794043026,2.802493011,
Belgium,BEL,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,13.48000428,13.66952658,13.8834983,14.04754527,14.22580467,14.43742682,14.65765879,14.89250125,15.09007329,15.26506126,15.44752326,15.6185694,15.79797325,15.98717994,16.16101302,16.31676425,16.44586141,16.60180029,16.78147401,16.94425953,17.01145551,16.9004836,16.67224761,16.39620461,16.25415661,16.3872747,16.64321652,16.89806641,17.1676917,17.42154847,17.66047181,17.89050949,18.08970949,18.26687964,18.45247915,18.676215,18.90634322,19.10883497,19.26185198,19.36725471,19.44236547,19.49614218,19.5402427,19.5835609,19.64082779,19.65015682,19.55848718,19.44758081,19.40980541,19.43850064,19.48346974,19.61016869,19.79771912,19.96598677,20.14147752,20.29834264,20.44076089,20.59937106,20.77288832,20.97215948,21.14312995,21.3408849,
Benin,BEN,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,6.389726569,6.280186897,6.182466048,6.093959302,6.005951186,5.915612913,5.824875435,5.732456823,5.640851113,5.551313141,5.46310549,5.378841951,5.299277682,5.222641814,5.146759025,5.07263432,5.002228425,4.93514176,4.873164883,4.814323006,4.754664114,4.694397379,4.635607043,4.580455657,4.526911685,4.472773135,4.419151822,4.366783135,4.31477569,4.262841702,4.211858037,4.161467637,4.111626691,4.035124244,3.9720958,3.94232374,3.907634062,3.871841885,3.839093924,3.809289049,3.78184093,3.755586747,3.728298782,3.70191072,3.679622149,3.659935325,3.647803059,3.643612327,3.643164928,3.64557193,3.648150595,3.647375124,3.638175663,3.617257115,3.573165739,3.530809606,3.506096803,3.484558894,3.468057091,3.456980649,3.443299299,3.421738924,
Burkina Faso,BFA,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,2.421476978,2.485998143,2.549316292,2.611873933,2.675368362,2.741180112,2.808865486,2.878707604,2.949671639,3.020657041,3.091505449,3.162273543,3.23130978,3.297540277,3.362842887,3.427208696,3.489637443,3.547471185,3.599842776,3.647640151,3.688611308,3.722187588,3.749730762,3.770996509,3.786261684,3.795274084,3.796573625,3.790124802,3.776464636,3.756437527,3.733068447,3.708767881,3.681640245,3.649265413,3.613051298,3.575040606,3.535937,3.494377619,3.450394621,3.407490848,3.368361789,3.332617116,3.299216633,3.268465743,3.239614689,3.213530063,3.191008174,3.173243006,3.163505663,3.160582849,3.161043742,3.162420926,3.15858412,3.135358319,3.09962524,3.071653953,3.05346738,3.042817789,3.040123065,3.043355621,3.041366669,3.028038088,
Bangladesh,BGD,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,2.993754675,2.980187198,2.973532241,2.971677498,2.974065492,2.978827659,2.987688457,3.001333132,3.015319172,3.028254423,3.030992504,2.964143872,2.910467204,2.931150011,2.953679414,2.985695812,3.027845754,3.073418543,3.117516823,3.154171027,3.184131934,3.205965244,3.220144442,3.229655135,3.239815411,3.255732262,3.271264406,3.283476352,3.290760676,3.282785367,3.266059622,3.259355131,3.267229714,3.276697324,3.282697189,3.294675811,3.302669997,3.319909444,3.371072312,3.448337446,3.530186617,3.604914343,3.682560854,3.765904573,3.847427399,3.925253762,4.003914148,4.075121868,4.145045756,4.217067739,4.295603478,4.384982186,4.483311341,4.586363886,4.68495568,4.804922862,4.957184283,5.136148166,5.341720802,5.572597063,5.809220647,6.050198187,
Bulgaria,BGR,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,8.215313029,8.435322,8.632757416,8.827992195,9.079547859,9.352798768,9.625014735,9.875701888,10.11046597,10.34349133,10.59727128,10.86513587,11.11699511,11.38666724,11.67251547,11.95737115,12.23809039,12.47691104,12.71118877,12.96332862,13.15209904,13.28377384,13.37389443,13.44296444,13.58953864,13.84093747,14.16732582,14.50781529,14.83650892,15.19090706,15.5523611,15.88866574,16.22984963,16.57578967,16.8937716,17.19007627,17.46505217,17.72709711,18.02144947,18.37176342,18.71589316,19.02963401,19.3135685,19.55563895,19.7881959,20.01527949,20.24052018,20.47584193,20.7214282,20.98846148,21.32024363,21.77881642,22.28355324,22.80118787,23.35869088,23.88335243,24.32024337,24.70664585,25.1154007,25.52858334,25.89402616,26.10838418,
Bahrain,BHR,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,2.650257303,2.558468165,2.470575968,2.38219451,2.285929106,2.27231487,2.352621662,2.445102947,2.547469782,2.65996612,2.780235878,2.838652885,2.812315392,2.766629016,2.716776868,2.665281536,2.616391223,2.567491033,2.519522403,2.473884455,2.436925838,2.418355492,2.412957181,2.408913703,2.404366511,2.398433676,2.391147929,2.386775503,2.38694599,2.386727584,2.386772777,2.403846154,2.446352679,2.501785485,2.558678023,2.610394129,2.653455627,2.694701035,2.732791692,2.760387724,2.78684284,2.82156081,2.865647537,2.897264845,2.894765969,2.879064167,2.863697034,2.840204636,2.8142836,2.796699767,2.839473942,2.917288573,2.972693007,3.064332539,3.208637363,3.310836452,3.348255984,3.378947813,3.451815131,3.632714492,3.927373128,4.250959222,
"Bahamas, The",BHS,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,4.240909595,4.140343421,4.053049568,3.99367724,3.980356681,3.991382633,4.002584439,4.02077273,4.041403869,4.070372684,4.101991231,4.13999587,4.202927739,4.284049413,4.371185856,4.464502932,4.559715541,4.652868745,4.743464731,4.825419761,4.909843454,5.004945164,5.106284061,5.206375429,5.295093057,5.357524788,5.394608549,5.416003462,5.413074155,5.37391401,5.354813628,5.367508454,5.357161534,5.34852716,5.386537331,5.440188723,5.471190126,5.508941918,5.557936715,5.627560066,5.742300712,5.865577308,5.970681516,6.072350677,6.191865171,6.325156191,6.458285071,6.587249206,6.699737926,6.807703953,6.909033394,7.019289299,7.174579583,7.364781353,7.564605357,7.773365351,7.987906832,8.210177855,8.479071735,8.797768718,9.144884427,9.475850017,
Bosnia and Herzegovina,BIH,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,4.108383133,4.187696867,4.308356974,4.456037647,4.608012506,4.755638939,4.896687806,5.029189419,5.159674383,5.299196758,5.455281351,5.629148861,5.822426539,6.030823188,6.247846272,6.467927167,6.683640007,6.892526593,7.082231263,7.231165433,7.336874527,7.396792339,7.413436048,7.417268836,7.440461476,7.493128822,7.603610024,7.788355398,8.030336491,8.315019985,8.648851448,9.024902201,9.705643761,10.58718042,11.37359936,11.8957895,11.98750857,12.12241555,12.42390148,12.8349981,13.2873681,13.753321,14.20988728,14.69434153,15.26132897,15.77510447,16.17567562,16.40696836,16.45794195,16.46219124,16.44949817,16.4590054,16.5578252,16.7897468,17.08295976,17.4015988,17.77838062,18.23040929,18.76292891,19.32244765,19.84722521,20.27706334,
Belarus,BLR,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,8.551450272,8.628413807,8.707032897,8.815721775,8.9976204,9.248084978,9.531720574,9.827523541,10.11385218,10.39871557,10.69055739,10.97035889,11.23832428,11.51586271,11.81891834,12.14220309,12.45756183,12.74653475,12.99037354,13.16085177,13.21730095,13.13787017,12.98368108,12.82829764,12.71593847,12.65582419,12.65470423,12.7733869,13.03066616,13.34680412,13.68846467,14.06848244,14.4630261,14.85678723,15.29026072,15.74185553,16.14867906,16.50376542,16.7878774,17.00338672,17.25403561,17.58822225,17.94125616,18.28508257,18.57895437,18.77261448,18.84142468,18.75398459,18.54449168,18.2771594,18.02617182,17.92881231,18.01301824,18.21589666,18.47879185,18.72481954,18.96490933,19.23510602,19.56694456,19.98209278,20.36092093,20.67762532,
Belize,BLZ,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,4.287666182,4.337607064,4.367286184,4.398138823,4.42831536,4.446665715,4.457491563,4.461400359,4.459031828,4.447968521,4.458519416,4.47956332,4.49713489,4.533585951,4.57235496,4.598601268,4.615571943,4.633392094,4.642807388,4.630435565,4.594626933,4.556661241,4.526578073,4.484938007,4.440744356,4.404693689,4.366974263,4.330128472,4.299945431,4.284271906,4.285262755,4.271034737,4.181000969,4.05192392,3.97329683,3.945920922,3.953523173,3.974405611,3.981026444,3.988002087,4.006612488,4.00498485,3.970763323,3.931413125,3.897160825,3.86794618,3.849083643,3.836091804,3.831628639,3.843911205,3.87002533,3.907048319,3.959509013,4.029833353,4.114141613,4.209484896,4.316369384,4.431882905,4.554128208,4.689854052,4.861034978,5.041737823,
Bermuda,BMU,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,6.691009334,6.724326379,6.689576706,6.658491166,6.669628971,6.715201565,6.771187883,6.841545551,6.961624175,7.143286995,7.373735382,7.616765067,7.826187852,8.007452366,8.172572366,8.354195115,8.587163577,8.840038296,9.084109353,9.318541997,9.528583895,9.685622673,9.796865295,9.880098529,9.95456423,10.00908783,10.06102414,10.14589442,10.24689422,10.34256169,10.40568613,10.49208241,10.61769222,10.74153393,10.88671505,11.03560885,11.19224598,11.39705285,11.65685721,11.9338007,12.18303146,12.44102936,12.73106411,13.01750226,13.30122728,13.56304758,13.73745174,13.92010854,14.22417109,14.5484436,14.95090519,15.4907999,16.0875358,16.73920373,17.32125029,17.83011452,18.4334711,19.13482646,19.81137834,20.48370201,21.23322857,22.01971555,
Bolivia,BOL,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,5.404149521,5.295604655,5.186592074,5.079935318,4.97983355,4.888874589,4.8071128,4.733705876,4.668481232,4.611560729,4.562915249,4.522173626,4.488461647,4.461107706,4.440110158,4.424320598,4.41399748,4.409120327,4.405120816,4.396436173,4.382472816,4.363196407,4.339093515,4.31318834,4.289224076,4.270430701,4.255418194,4.243297913,4.236732757,4.239172633,4.250859774,4.272649881,4.304416808,4.464720647,4.730007524,4.959198609,5.152707211,5.314936502,5.44922354,5.556019412,5.640517681,5.636454382,5.55902417,5.491431795,5.433598932,5.386863679,5.350458398,5.324439686,5.311600064,5.313354068,5.327907881,5.352504683,5.381673672,5.404790956,5.420367994,5.439322345,5.466400514,5.499499824,5.538738847,5.585617204,5.60038453,5.565731179,
Brazil,BRA,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,2.737212354,2.770046849,2.813930769,2.86272229,2.914306005,2.96960795,3.028950796,3.089534193,3.150282903,3.2108658,3.270383471,3.329699965,3.390017215,3.452328769,3.517642846,3.585738566,3.654692487,3.722175489,3.787705248,3.851862427,3.913622459,3.972679962,4.030606033,4.089248219,4.151060485,4.218135253,4.293359779,4.379757975,4.477327445,4.584272932,4.699171657,4.820500951,4.948674913,5.082962541,5.220354036,5.358444306,5.498112762,5.639988276,5.781124094,5.920340814,6.060450106,6.207050964,6.358933372,6.514316711,6.676188874,6.84392923,7.015624876,7.189230871,7.363509088,7.538326479,7.714240158,7.896801734,8.09492787,8.316151789,8.572310203,8.855123251,9.150201111,9.456419198,9.771778899,10.10082003,10.4358439,10.76642957,
Barbados,BRB,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,7.555532106,7.614022167,7.697094597,7.82161235,8.003531859,8.232307971,8.519350631,8.860881742,9.204497456,9.516457803,9.772688031,9.970963414,10.11561847,10.22566547,10.34623266,10.48972808,10.64912659,10.82461954,11.00532184,11.17464662,11.36854899,11.57587511,11.75041969,11.91123978,12.06659775,12.19674448,12.31390531,12.42957062,12.53440136,12.63466387,12.68228246,12.67405281,12.66249149,12.66991527,12.70654852,12.73751989,12.72974713,12.72297144,12.73320216,12.74141943,12.7731373,12.81073651,12.84485273,12.85391099,12.81936863,12.78359604,12.76281645,12.7706673,12.84308085,12.9917562,13.13257163,13.25635906,13.44861643,13.70385614,14.01597801,14.36616612,14.71670067,15.10143085,15.53769417,16.02149948,16.57407724,17.17304565,
Brunei Darussalam,BRN,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,2.995055978,3.027236798,3.068540619,3.075680513,3.060072739,3.012615138,2.937873713,2.858563261,2.776574968,2.699284435,2.627734844,2.591821503,2.619954996,2.680792531,2.740636512,2.790312876,2.830731769,2.857582204,2.87774248,2.893882947,2.903139441,2.897497027,2.865700904,2.825470211,2.801455459,2.785598373,2.761394228,2.72865819,2.697633146,2.680546298,2.672175856,2.662002491,2.648517912,2.645122996,2.666700794,2.712272552,2.774738729,2.846209122,2.920172032,2.99678673,3.071641035,3.143008432,3.213247178,3.284577194,3.365617151,3.456175071,3.544800229,3.620722985,3.675424014,3.707653735,3.733316495,3.806901273,3.941126197,4.108429809,4.303666724,4.521180862,4.76559662,5.039628446,5.344146193,5.678532953,6.035024971,6.406044984,
